,sents,labels
0,スメアゴルは三百二十一匹のハエを傷つけます。,0
1,少年は百六十三枚のコインを持っています。,0
2,スメアゴルは百七十八二百六十七匹のハエを傷つけます。,1
3,図書館には二百十二冊の本があります。,0
4,図書館には四百一三百十四冊の本があります。,1
5,彼は百七十七個のオレンジを食べることができました。,0
6,アイゼンガードにホビット二百六十二匹を連れて行く。,0
7,図書館には九百八十三冊の本があります。,0
8,スメアゴルは五十一五百四十八匹のハエを傷つけます。,1
9,テーブルには九百七十つのリンゴがありました。,0
10,家には猫が三百三十七匹いました。,0
11,アイゼンガードにホビット二百五十八匹を連れて行く。,0
12,彼は二百二十八個のオレンジを食べることができました。,0
13,七百九十五八十八つのリングがあります。,1
14,少年は九百四十七枚のコインを持っています。,0
15,テーブルには九百四十五三百三十四つのリンゴがありました。,1
16,二百八十五四百二十三つのリングがあります。,1
17,部屋は四百四十五七百四十六つのジャガイモで満たされていました。,1
18,図書館には五百三十五冊の本があります。,0
19,アイゼンガードにホビット三百五十四七百四十二匹を連れて行く。,1
20,彼は四百七十個のオレンジを食べることができました。,0
21,レゴラスは四百五十人の小人を投げました。,0
22,図書館には八百五百二十五冊の本があります。,1
23,四十六ドルかかります。,0
24,八百五十八つのリングがあります。,0
25,部屋は四百七十三五百三十一つのジャガイモで満たされていました。,1
26,彼は二百五十六八百十九個のオレンジを食べることができました。,1
27,テーブルには九百十九つのリンゴがありました。,0
28,スメアゴルは三百六十四七百二匹のハエを傷つけます。,1
29,図書館には九百五十九冊の本があります。,0
30,少年は九百四十九枚のコインを持っています。,0
31,テーブルには六百七十一つのリンゴがありました。,0
32,九百三十つのリングがあります。,0
33,四百一二百九つのリングがあります。,1
34,テーブルには三百四十七五百三十二つのリンゴがありました。,1
35,スメアゴルは二百三十四四百五十五匹のハエを傷つけます。,1
36,テーブルには三百七十五七百五十一つのリンゴがありました。,1
37,図書館には八十三冊の本があります。,0
38,家には猫が四百八十三匹いました。,0
39,部屋は七四百三十つのジャガイモで満たされていました。,1
40,スメアゴルは六百七十七九百匹のハエを傷つけます。,1
41,図書館には百四十三冊の本があります。,0
42,少年は九十二枚のコインを持っています。,0
43,家には猫が三百六十六匹いました。,0
44,アイゼンガードにホビット百六十九匹を連れて行く。,0
45,百三百九十二つのリングがあります。,1
46,四百七十百四十ドルかかります。,1
47,図書館には五百七八百五十四冊の本があります。,1
48,テーブルには五百四十五六百二十四つのリンゴがありました。,1
49,テーブルには九百三十九つのリンゴがありました。,0
50,三百十四ドルかかります。,0
51,部屋は七百八十四つのジャガイモで満たされていました。,0
52,部屋は四百三十七つのジャガイモで満たされていました。,0
53,少年は八百九五百二十三枚のコインを持っています。,1
54,図書館には六百六十一百五十九冊の本があります。,1
55,家には猫が八百十一匹いました。,0
56,彼は二百五十五六百八十七個のオレンジを食べることができました。,1
57,図書館には三百六十七二百九十九冊の本があります。,1
58,八百二十五つのリングがあります。,0
59,図書館には二百十三冊の本があります。,0
60,二百三十八つのリングがあります。,0
61,少年は六百二十一四百二十一枚のコインを持っています。,1
62,スメアゴルは五百三十二匹のハエを傷つけます。,0
63,少年は三百二十六二百二十二枚のコインを持っています。,1
64,テーブルには五十七三百七つのリンゴがありました。,1
65,図書館には五百九十九百六十一冊の本があります。,1
66,九百四十九つのリングがあります。,0
67,七百三十一つのリングがあります。,0
