,sents,labels
0,six hundred and fourteen; six hundred and sixty two,1
1,eight hundred and fifty four; seven hundred and thirty nine,0
2,four hundred and thirty four; seven hundred and seventy three,1
3,eight hundred and seven; one hundred and fifty three,0
4,three hundred and sixty three; three hundred and four,0
5,nine hundred and sixty six; seven hundred and seventy seven,0
6,nine hundred and ninety six; four hundred and eighty,0
7,five hundred and fifty nine; nine hundred and seventy one,1
8,three hundred and eighty one; five hundred and ninety seven,1
9,two hundred and seventy two; four hundred and eleven,1
10,seven hundred and ninety nine; three hundred and sixty six,0
11,four hundred and sixty six; five hundred and twenty six,1
12,seven hundred and thirty two; seventy eight,0
13,three; eight hundred and forty two,1
14,six hundred and thirty; five hundred and seven,0
15,twenty seven; five hundred and five,1
16,two hundred and sixty two; six hundred and thirty four,1
17,nine hundred and forty seven; eight hundred and eighty five,0
18,nine hundred and eighty five; fifteen,0
19,two hundred and one; one hundred and eighty one,0
20,five hundred and eighty; four hundred and three,0
21,eight hundred and fifty six; four hundred and fifty,0
22,three hundred and seventy three; seven hundred and sixty five,1
23,one hundred and ninety eight; nine hundred and thirty five,1
24,four hundred and sixty one; five hundred and twenty eight,1
25,three hundred and eighty one; five hundred and seventeen,1
26,one hundred and ninety seven; three hundred and ninety four,1
27,two hundred and twenty five; six hundred and thirty three,1
28,three hundred and twenty seven; one hundred and fifty six,0
29,nine hundred and eighty five; four hundred and fifty nine,0
30,one hundred and eighty one; six hundred and thirteen,1
31,three hundred and ninety four; three hundred and thirty,0
32,two hundred and sixty five; six hundred and twenty eight,1
33,six hundred and eight; nine hundred and twenty seven,1
34,six hundred and fifty; two hundred and fifty four,0
35,five hundred and twenty four; seven hundred and forty five,1
36,three hundred and fifty one; five hundred and four,1
37,five hundred; one hundred and four,0
38,eight hundred and thirty two; seventy seven,0
39,two hundred and ninety nine; one hundred and forty six,0
40,nine hundred and thirteen; seven hundred and sixty six,0
41,one hundred and ninety one; thirty three,0
42,nine hundred and fifty three; eight hundred and seventeen,0
43,six hundred and fifty five; five hundred and eleven,0
44,four hundred and ninety five; three hundred and thirty three,0
45,six hundred and forty six; three hundred and one,0
46,eight hundred and sixteen; four hundred and thirteen,0
47,three hundred and twenty eight; six hundred,1
48,nine; forty seven,1
49,six hundred and three; eight hundred and fifty seven,1
50,eight hundred and seventy eight; four hundred and forty one,0
51,seven hundred and two; five hundred and fourteen,0
52,four hundred and fifty six; five hundred and eighty one,1
53,eight hundred and forty three; four hundred and seventy three,0
54,eight hundred and sixty two; six hundred and twenty one,0
55,three hundred and ninety nine; twenty,0
56,one hundred and twenty four; three hundred and eight,1
57,three hundred and twenty seven; six hundred and fifty seven,1
58,two hundred and sixty nine; four hundred and thirty five,1
59,two hundred and thirty three; two hundred and sixty three,1
60,two hundred and seventy six; three hundred and eighty five,1
61,four hundred; eight hundred and fifty three,1
62,eight hundred and ninety three; nine hundred and fifty nine,1
63,four hundred and eighty two; five hundred and thirty three,1
64,eight hundred and three; sixty one,0
65,six hundred and eleven; seventy five,0
66,eight hundred and eighty seven; eight hundred and forty five,0
67,one hundred and eighty five; five hundred and six,1
68,five hundred and seventeen; nine hundred and sixty eight,1
69,one hundred and ninety two; eight hundred and eighty two,1
70,nine hundred and fourteen; four hundred and ninety six,0
71,eight hundred and thirty two; nine hundred and forty eight,1
72,seven hundred and eighty six; three hundred and fifty three,0
73,six hundred and sixty one; four hundred and fifty one,0
74,eight hundred and fifty eight; five hundred and thirty,0
75,one hundred and thirty seven; eight hundred and ninety,1
76,five hundred and eighty seven; nine hundred and twenty eight,1
77,five hundred and ninety one; ninety one,0
78,seven hundred and ninety three; two hundred and eighty two,0
79,seven hundred and forty nine; five hundred and thirty,0
80,seven hundred and sixty nine; one hundred and seventy seven,0
81,eight hundred and five; five hundred and sixty nine,0
82,seven hundred and seventy two; six hundred and sixty seven,0
83,ninety nine; one hundred and fifty one,1
84,forty four; twenty one,0
85,two hundred and two; three hundred and one,1
86,two hundred and ninety six; six hundred and one,1
87,seven hundred and sixty four; seven hundred and forty four,0
88,nine hundred and seventy eight; four hundred and eight,0
89,two hundred and seventeen; eight hundred and twenty,1
90,five hundred and seven; nine hundred and ninety eight,1
91,seven hundred and fifty nine; five hundred and eighty one,0
92,nine hundred and eighty four; eight hundred and twenty seven,0
93,four hundred and seventy; eight hundred and eighty one,1
94,two hundred and twenty one; six hundred and seventy one,1
95,two hundred and forty two; nine hundred,1
96,seven hundred and thirty nine; ninety six,0
97,nine; one hundred and fifty three,1
98,eighty two; three hundred and four,1
99,nine hundred and forty one; nine hundred and sixty four,1
100,four hundred and seventy four; one hundred and seven,0
101,nine hundred and seventy nine; one hundred and eighty five,0
102,three hundred and eighty eight; eight hundred and fifteen,1
103,five hundred and forty seven; five hundred and twenty one,0
104,two hundred and ninety three; ninety five,0
105,five hundred and ninety four; four hundred and twenty one,0
106,seven hundred and eighty nine; one hundred and seventy,0
107,nine hundred and twenty four; three hundred and twenty,0
108,four hundred and fourteen; eight hundred and forty nine,1
109,eight hundred and seventy seven; sixty two,0
110,eight hundred and sixty three; nine hundred and fifty eight,1
111,five hundred and ninety one; three hundred and thirty four,0
112,six hundred and one; seven hundred and thirty four,1
113,three hundred and seventy nine; two,0
114,eight hundred and eighty nine; eleven,0
115,one hundred and seventy two; nine hundred and sixty eight,1
116,four hundred and five; three hundred and fifty,0
117,seven hundred and thirteen; one hundred and ninety one,0
118,nine hundred and thirteen; three hundred and fourteen,0
119,forty four; two hundred and eleven,1
120,seven hundred and forty five; two hundred and four,0
121,two hundred and thirty two; three hundred and twenty eight,1
122,four hundred and twenty two; five hundred and seventy,1
123,seven hundred and sixty five; five hundred and fifteen,0
124,seven hundred and forty four; three hundred and fifty four,0
125,four hundred and ninety five; two hundred and forty nine,0
126,seven hundred and eleven; eight hundred and fifteen,1
127,eight hundred and seven; three hundred and four,0
128,seven hundred and ninety two; eight hundred and eighty two,1
129,three hundred and thirty one; eight hundred and eighty,1
130,six hundred and twenty seven; eight hundred and forty three,1
131,four hundred and thirty; four hundred and fifty,1
132,fifty eight; two hundred and seventy one,1
133,five hundred and three; five hundred and fifty eight,1
134,three hundred and thirty nine; eight hundred and forty four,1
135,three hundred and thirty four; four hundred and twenty,1
136,three hundred and ninety nine; nine hundred and thirty five,1
137,eight hundred and seventy two; nine hundred and ninety one,1
138,nine hundred and thirty five; seven hundred and ninety,0
139,seven hundred and fifty one; six hundred and two,0
140,one hundred and eighty six; six hundred and ninety nine,1
141,five hundred and twenty two; nine hundred and sixty four,1
142,eight hundred and sixty six; five hundred and nineteen,0
143,five hundred and forty three; four hundred and sixty,0
144,seventy nine; five hundred and two,1
145,one hundred and eleven; nineteen,0
146,four hundred and forty nine; one hundred and seventy nine,0
147,four hundred and fifty three; four hundred and fifty seven,1
148,three; three hundred and seventy three,1
149,seven hundred and ninety three; fifty seven,0
150,four hundred and eighteen; one hundred and seventy two,0
151,five hundred and ninety two; eight hundred and ninety two,1
152,seven hundred and forty seven; nine hundred and sixty three,1
153,three hundred and thirteen; six hundred and sixty nine,1
154,nine hundred and two; seventy two,0
155,two hundred and twenty nine; four hundred and forty eight,1
156,five hundred and thirty; nine hundred and eighty eight,1
157,two hundred and two; five hundred and eighty eight,1
158,four hundred and fifty five; five,0
159,three hundred and ninety six; eight hundred,1
160,sixty; eight hundred and ninety six,1
161,nine hundred and fifty five; nine hundred and ninety six,1
162,seven hundred and thirty; eight hundred and four,1
163,six hundred and thirty nine; eight hundred and forty six,1
164,eighty two; five hundred and fifty eight,1
165,four hundred and eighty five; thirty three,0
166,four hundred and forty seven; four hundred and seventy six,1
167,four hundred and six; eight hundred and thirty two,1
168,twenty five; seven hundred and twenty two,1
169,three hundred and forty six; two hundred and fifty one,0
170,seven hundred and twelve; one hundred and seventy three,0
171,eight hundred and twenty three; five hundred and sixty seven,0
172,six hundred and forty five; six hundred and eighty five,1
173,two hundred; five hundred and fifty five,1
174,eight hundred and forty eight; three hundred and seventy eight,0
