,sents,labels
0,Cela coûte quatre cent dix neuf dollars.,0
1,Il y a neuf cent vingt sept trois cent quarante neuf livres dans la bibliothèque.,1
2,Il y avait six cent trente deux pommes sur la table.,0
3,Il y avait deux cent quarante cinq pommes sur la table.,0
4,Cela coûte quatre cent quatre vingt quatorze dollars.,0
5,Ils emmènent cent soixante dix hobbits à Isengard.,0
6,Ils emmènent six cent vingt huit quatre cent treize hobbits à Isengard.,1
7,Cela coûte quatre cent quatre vingt neuf dollars.,0
8,Ils emmènent sept cent quarante cinq hobbits à Isengard.,0
9,Smeagol blesse neuf cent trente mouches.,0
10,Il y avait six cent onze chats dans la maison.,0
11,Il y avait six cent quatre vingt deux cinq cent cinquante deux chats dans la maison.,1
12,Il y a trois cent trente quatre sept cent soixante deux anneaux.,1
13,Il y avait trois cent quatre vingt onze pommes sur la table.,0
14,Il y a six cent soixante quatre cinq cent trente anneaux.,1
15,Legolas a jeté quatre cent cinquante quatre nains.,0
16,Smeagol blesse deux cent cinq quatre cent soixante seize mouches.,1
17,Cela coûte quarante six deux cent soixante cinq dollars.,1
18,Il pouvait manger cinq cent soixante sept oranges.,0
19,Le garçon a six cent trente deux pièces.,0
20,Smeagol blesse sept cent quarante et un mouches.,0
21,Cela coûte deux cent vingt deux cent trente et un dollars.,1
22,Il y avait cent quatre vingt deux trois pommes sur la table.,1
23,Il pouvait manger deux cent soixante treize oranges.,0
24,Il y avait neuf cent trente quatre deux cent quatre vingt quinze pommes sur la table.,1
25,Le garçon a cent quatre vingt six neuf cent vingt et un pièces.,1
26,Il y avait quatre vingt treize pommes sur la table.,0
27,Ils emmènent neuf cent quatre vingt onze hobbits à Isengard.,0
28,La pièce était remplie de cinq cent soixante deux pommes de terre.,0
29,Il y a cinq cent quatre vingts anneaux.,0
30,Il y avait deux cent quatre vingt un chats dans la maison.,0
31,Ils emmènent trois cent quarante hobbits à Isengard.,0
32,Il y a huit cent quatre vingt dix sept livres dans la bibliothèque.,0
