,sents,labels
0,Legolas kastede ettusinde og tohundrede og niogfirs dværge.; Legolas kastede ettusinde og trehundrede og fjorten dværge.,1
1,Smeagol gør ottehundrede og fireogtredive fluer ondt.; Smeagol gør totusinde og tohundrede og syvoghalvfems fluer ondt.,1
2,Der er totusinde og ethundrede og tre bøger på biblioteket.; Der er firetusinde og ottehundrede og enogtyve bøger på biblioteket.,1
3,Der er ottehundrede og seksoghalvfems ringe.; Der er tretusinde og femhundrede og otte ringe.,1
4,Der var tohundrede og fireogtreds katte i huset.; Der var trehundrede og seksogfirs katte i huset.,1
5,Der er totusinde og firehundrede og otteoghalvtreds ringe.; Der er firetusinde og tohundrede og tyve ringe.,1
6,Det koster ettusinde og trehundrede og syv dollars.; Det koster totusinde og syvhundrede og fem dollars.,1
7,Han kunne spise firetusinde og otteogfirs appelsiner.; Han kunne spise totusinde og firehundrede og enoghalvfjerds appelsiner.,0
8,Der var tretusinde og ethundrede og otteogtreds katte i huset.; Der var ettusinde og nihundrede og syv katte i huset.,0
9,Han kunne spise ottehundrede og seks appelsiner.; Han kunne spise nihundrede og otteogtyve appelsiner.,1
10,Der var tretusinde og trehundrede og syvogfyrre æbler på bordet.; Der var ettusinde og firehundrede og toogtreds æbler på bordet.,0
11,Legolas kastede firetusinde og trehundrede og treogtredive dværge.; Legolas kastede ettusinde og ottehundrede og femoghalvfems dværge.,0
12,Legolas kastede tretusinde og ottehundrede og niogtreds dværge.; Legolas kastede firehundrede og toogtredive dværge.,0
13,De tager firetusinde og femhundrede og otteoghalvfjerds hobbyer til Isengard.; De tager femogfirs hobbyer til Isengard.,0
14,Der var firetusinde og sekshundrede og femogtredive æbler på bordet.; Der var tretusinde og firehundrede og fireogtreds æbler på bordet.,0
15,De tager totusinde og treoghalvfjerds hobbyer til Isengard.; De tager ettusinde og tohundrede og femogtreds hobbyer til Isengard.,0
16,Der var ethundrede og nioghalvfjerds æbler på bordet.; Der var firetusinde og tohundrede og sytten æbler på bordet.,1
17,Værelset var fyldt med totusinde og tohundrede og enoghalvfjerds kartofler.; Værelset var fyldt med ettusinde og tohundrede og otte kartofler.,0
18,Han kunne spise totusinde og ethundrede og femoghalvtreds appelsiner.; Han kunne spise firetusinde og syvhundrede og sytten appelsiner.,1
19,Der er totusinde og tohundrede og fireoghalvtreds ringe.; Der er ettusinde og ethundrede og firs ringe.,0
20,Smeagol gør firetusinde og trehundrede og niogtreds fluer ondt.; Smeagol gør ettusinde og trehundrede og seksogtredive fluer ondt.,0
21,De tager firetusinde og femhundrede og nitten hobbyer til Isengard.; De tager firetusinde og trehundrede og femogfirs hobbyer til Isengard.,0
22,Legolas kastede firetusinde og sekshundrede og treds dværge.; Legolas kastede totusinde og ethundrede og femogfirs dværge.,0
23,Der var tretusinde og ottehundrede og seksogtyve æbler på bordet.; Der var ettusinde og nihundrede og nitten æbler på bordet.,0
24,Drengen har totusinde og femhundrede og treoghalvfjerds mønter.; Drengen har firetusinde og firehundrede og to mønter.,1
