,sents,labels
0,百五十八; 五百九十一,1
1,三百四十九; 八百四十五,1
2,二百五; 五百十五,1
3,六百二十; 五百五十七,0
4,六百三十一; 九百十三,1
5,三十五; 九百二十七,1
6,四百六十九; 二百二十二,0
7,五十六; 五百七十六,1
8,八百八十二; 二百三十一,0
9,四百十六; 百八十九,0
10,九百十三; 百四十七,0
11,六百四十八; 七百十五,1
12,二百九; 百五十八,0
13,九百四十六; 九百二十四,0
14,五百十一; 二百二十四,0
15,四百八十四; 三百六十八,0
16,七百三十五; 七百七,0
17,百九十; 三百二十,1
18,四百四十八; 九百二十三,1
19,八十; 七百十七,1
20,九百九十七; 五百九十六,0
21,二十四; 十三,0
22,六百九十八; 九百七十七,1
23,百四十四; 九,0
24,八百五十八; 九百二十六,1
25,五百三; 七百二十二,1
26,百七十五; 五百七十,1
27,六百六十四; 七十五,0
28,五百七十三; 六百三十三,1
29,二百九十八; 四百五十三,1
30,八百五十四; 九百五十九,1
31,七百二十三; 七百十九,0
32,六百六十二; 九百八,1
33,三百五十六; 九百九十五,1
34,五百九十六; 九十一,0
35,八百九十; 七百八十八,0
36,二百五十六; 二百九十,1
37,九百六十二; 六百四十九,0
38,四百十; 九百九十七,1
39,二百四十六; 二百四十五,0
40,五百二十一; 四百二十二,0
41,七百五十四; 五百九十四,0
42,九; 七百五十,1
43,四百十二; 九百四十三,1
44,七百六十六; 七百三十九,0
45,八百二十九; 五十二,0
46,二百二十; 九百七十五,1
47,五百九十七; 百五十七,0
48,六百五十五; 六百四十六,0
49,四百二十五; 九百七十五,1
50,九百八十九; 三十二,0
51,百八十二; 九百九,1
52,二十七; 九百十六,1
53,五百六十一; 百九十五,0
54,二百二十五; 六十八,0
55,七十九; 五百二十七,1
56,三百八十八; 七百七十,1
57,六百九十; 九百四十五,1
58,八百八十三; 六百十二,0
59,二十六; 七百十八,1
60,八百六十五; 七百三十二,0
61,二十三; 二百二十四,1
62,八百十一; 七百九十三,0
63,百七十; 六百八十六,1
64,七百九十八; 三百三十九,0
65,八百三十三; 七百十八,0
66,四百二十; 六百九十二,1
67,十八; 二百五十三,1
68,二百二; 六百二,1
69,九百十七; 四百四十三,0
70,二百六十八; 五百九十一,1
71,百八十六; 二百三十三,1
72,百八十一; 五百七十七,1
73,三百十三; 六百七十六,1
74,六百九十; 五百五十四,0
75,八百二十四; 七百七十六,0
76,七十三; 二十九,0
77,三百七; 百九十七,0
78,二百四十七; 百三十一,0
79,四百二十六; 百九十九,0
80,九百三十七; 九百五十三,1
81,二百八十三; 七十三,0
82,三; 五百九十二,1
83,六百二十; 六百七十一,1
84,四百五十九; 九十二,0
85,六百九十一; 六百二十六,0
86,六百九十三; 四百九十七,0
87,七百四十七; 八百十三,1
88,六百四十二; 三百二十二,0
89,二百二十四; 二百二,0
90,五百八; 五百九十一,1
91,四百十四; 七百四十四,1
92,四百六十四; 六百四十七,1
93,六十七; 四百五十七,1
94,十七; 三百十,1
95,七百六十八; 八百五十,1
96,五百四十; 百四十一,0
97,六百二; 九十二,0
98,五百九十二; 八百七十五,1
99,二百二十四; 七百二十,1
100,九百三十五; 四百七十四,0
101,七百二; 百十六,0
102,六百六十二; 三百八十,0
103,三百五十七; 七百六十三,1
104,三百九十八; 三十二,0
105,六百十三; 九百三,1
106,三百二十一; 三百六,0
107,二百四; 八百四十九,1
108,六百六十六; 八百五十,1
109,七百九十七; 九十八,0
110,五百六; 八百六,1
111,六百十五; 二百十七,0
112,八百二十六; 四百七十二,0
113,七百五十三; 三百十九,0
114,五百六; 三十四,0
115,五百八; 六百八十九,1
116,百二十; 八百六十六,1
117,十九; 七百八,1
118,五百五十九; 五百九十一,1
119,八百十; 九百五十九,1
120,八百五十三; 八百六十四,1
121,八百九十; 六百十一,0
122,二百九十; 二百七十五,0
123,七百十九; 九百五十九,1
124,五百七十五; 七百二十,1
125,七十四; 二百二十一,1
126,百七十四; 二百九十九,1
127,三百三十七; 九,0
128,六百五十四; 九百二十九,1
129,二百八十八; 五百九十六,1
130,二百三十四; 七百七十一,1
131,五百十三; 七百六,1
132,七百九十五; 八百四十三,1
133,五百八十九; 三百七十一,0
134,七百九十五; 六百九十三,0
135,五百九十四; 四百二十二,0
136,五百三; 三百七十九,0
137,六百十九; 七百八十四,1
138,三百八十六; 八十九,0
139,三百二十三; 八百七十九,1
140,四百六十六; 三,0
141,二百三十九; 二百三十七,0
142,二百二十一; 六百四十七,1
143,三百七十三; 九百九十二,1
144,八百六十二; 八百四十四,0
145,四百二十八; 五百七十五,1
146,九百二十八; 七百二十六,0
147,百八十三; 五百七,1
148,七百四十一; 八百三十四,1
149,六百; 五百六十四,0
150,三百八十八; 九百三十三,1
151,八十一; 六百十四,1
152,八百九十八; 三十,0
153,三百二十一; 三百二十三,1
154,四百二; 五百五十九,1
155,九百四十三; 四百九十八,0
156,五百三十四; 三百二十九,0
157,五百二十九; 八百二十三,1
158,七百七十四; 百十六,0
159,三百二十八; 三百六十九,1
160,六百五十八; 六百五十三,0
161,五十八; 八百十八,1
162,二百四十八; 九百七十三,1
163,七百十一; 百五十二,0
164,百七; 三百七十一,1
165,八百八十四; 七百八十三,0
166,三十二; 二百八十九,1
167,三百二十五; 五百四十六,1
168,百六; 五十七,0
169,九百七十八; 九百三十二,0
170,七百三十五; 九百十七,1
171,三; 八百五十六,1
172,四百七十六; 百六十九,0
173,六百四十七; 六百八十七,1
174,十一; 百四十五,1
175,七百五十三; 四百三十九,0
176,四百七十四; 二百二十,0
177,六百七十; 百六十五,0
178,三百; 二十二,0
179,五百五十八; 六百三,1
180,九百三十三; 六百十三,0
181,七百七十六; 七百十二,0
182,九百五十七; 六百六十八,0
183,三百四; 六百六十五,1
184,三百七十二; 九百十四,1
185,六百三十二; 四百九,0
186,九百三十二; 七百五十八,0
187,二百五十五; 百七十九,0
188,三百四十六; 七百十六,1
189,七百五十四; 八百二十四,1
190,六百六十一; 四百八十八,0
191,四百八十五; 二百五十,0
192,二百六十八; 四十三,0
193,三十四; 七百九,1
194,七百五十; 六百八十三,0
195,七十八; 五十六,0
196,九百十一; 十五,0
197,四百六; 四百五,0
198,四百四十; 二百七十九,0
199,七百九十一; 二百四十四,0
200,百三十六; 五百九十三,1
201,百九十一; 七百五,1
202,五百五十六; 四百三十二,0
203,百十; 八百二十六,1
204,九十五; 四百五十八,1
205,七百八十七; 十一,0
206,三百五十五; 百三十一,0
207,三百六十五; 二百四十二,0
208,九百八十六; 八百六十八,0
209,三百五十八; 八百四,1
210,四百八十九; 九百五,1
211,六百二十五; 八百八十九,1
212,三百二十七; 八十一,0
213,三百五十九; 三百十一,0
214,七百五十三; 四百十,0
215,四百八十; 百四十三,0
216,四百九十; 四十三,0
217,三百三十; 百六十七,0
218,百五十九; 九百五十一,1
219,五百十二; 六百五十九,1
220,五百十八; 九百四十,1
221,三百二十六; 四百九十,1
222,八百六十五; 四百七,0
223,四百八十六; 八百,1
224,百九十七; 八百,1
225,七百十七; 三百八十三,0
226,百八十五; 四百十九,1
227,五百; 五百四十九,1
228,七百八十六; 八百三,1
229,五十五; 六百四十五,1
230,四百二十九; 四百八十二,1
231,九百七十; 六百八十九,0
232,九百九十七; 三百一,0
233,六百三; 九百四十四,1
234,六十四; 六百十三,1
235,百五十二; 四百三十三,1
236,七百六十七; 七百六十八,1
237,二百六十四; 七百二十八,1
238,四百九十二; 八百五十四,1
239,九十五; 八十八,0
240,七百五十五; 六百二十,0
241,百五十七; 八百七十九,1
242,五十; 八百九十七,1
243,七百三十八; 六百二十九,0
244,四百八十二; 八百三十六,1
245,八十八; 三百六十四,1
246,四百八; 五百八十七,1
247,六百六十七; 九百八十五,1
248,二百四十四; 三百七十六,1
249,三百四十一; 六百五十八,1
250,四十五; 四百二十四,1
251,七百六十四; 五百三十九,0
252,三百四十二; 八百五十七,1
253,三百九十一; 百八十,0
254,八百八十四; 七百九十,0
255,八百十八; 七百三十五,0
256,百九十四; 四百三十七,1
257,六百二十三; 四百九十四,0
258,百四十九; 四百九十一,1
259,五百; 四百二十七,0
260,八百六十八; 四百十二,0
261,八百二十六; 七百二十八,0
262,三百八十三; 百五十二,0
263,三十九; 四百二十四,1
264,百七十三; 九百十,1
265,二百四十四; 六百七十七,1
266,六百二十九; 七百四十,1
267,七百六十四; 六百七十六,0
268,八百五十七; 二百七,0
269,七百六; 六百九十六,0
270,六百八十九; 五百九十五,0
271,七百十三; 七百六十七,1
272,二百二; 五百六十四,1
273,九百九十八; 百六十二,0
274,六十二; 九百九十,1
275,五百五十五; 八百四十二,1
276,百八十八; 七百七十九,1
277,九十七; 八百八,1
278,五百七十二; 六百六十八,1
279,二百十一; 六百七十八,1
280,九百四十一; 三百三十九,0
281,七百六十三; 八百四十,1
282,四; 九百三十四,1
283,百十五; 二百十七,1
284,四十七; 三百五十一,1
285,四百五十; 二百九十,0
286,百六十三; 六百七十八,1
287,二百十六; 四百七十四,1
288,二百六十三; 二百五十五,0
289,五百八十九; 五百六十五,0
290,三百八十三; 六百十,1
291,百九十六; 三百三十四,1
292,四百八; 九百八十三,1
293,四百八十; 四百十四,0
294,四百七十九; 七百六十五,1
295,百三十五; 九百三,1
296,六百九十八; 九百四十五,1
297,九百十; 三百七,0
298,四百二十八; 八百二十二,1
299,百二十三; 二百八十一,1
300,二百二十; 五百六十四,1
301,二百二十四; 二百六十七,1
302,四百八十四; 三百七十四,0
303,五百七; 五百六十六,1
304,七百三十三; 百二十三,0
305,三百三十六; 九百八,1
306,八百四十九; 六百十二,0
307,五百七十二; 三百五十七,0
308,九百六十三; 百四十七,0
309,八百十七; 九百十四,1
310,三百五十; 七十六,0
311,九百七十九; 六百二十七,0
312,二百八十三; 八百九十五,1
313,四百五十二; 六百三十四,1
314,百八; 七百三十九,1
315,七百六; 八百五十五,1
316,九百六十六; 六百三十五,0
317,六百五十六; 九百八十七,1
318,九百六十七; 百九十九,0
319,五百五十四; 九百二十八,1
320,百八十五; 九百六十五,1
321,六百五十三; 六百七十二,1
322,五百七十二; 三百六十六,0
323,四百七十六; 九百五十八,1
324,九百七十九; 五百四十九,0
325,九百; 九百四,1
326,五百六十; 七百五十,1
327,百八十; 九百七十七,1
328,三百七十八; 二百二十七,0
329,二百四十九; 三百六十五,1
330,百四十一; 三百四十六,1
331,七百五十八; 六百四十二,0
332,三十三; 四十六,1
333,二百七; 二百六十四,1
334,九百三十三; 七百一,0
335,二百九十; 四百四十一,1
336,八百四十六; 九百五十一,1
337,三百七十三; 四百五十,1
338,四百五十; 四百十八,0
