,sents,labels
0,sept cent soixante dix sept; quatre cent seize,0
1,huit cent soixante quinze; cinq cent trente six,0
2,cinq cent cinquante deux; trois cent cinquante six,0
3,cinq cent cinquante huit; cent trente cinq,0
4,vingt neuf; six cent quatre vingt sept,1
5,cent quarante huit; douze,0
6,deux cent neuf; six cent quarante,1
7,sept cent soixante treize; cinq cent quinze,0
8,cent quarante et un; huit cent trente sept,1
9,quatre vingt sept; neuf cent quatre vingt seize,1
10,cinq cent quarante huit; deux cent soixante quatre,0
11,huit cent quatre vingt trois; trois cent cinquante deux,0
12,deux cent soixante dix; six cent huit,1
13,trois cent neuf; quatre cent trente neuf,1
14,six cent six; neuf cent quatre vingt douze,1
15,cinquante sept; neuf cent soixante seize,1
16,six cent cinquante trois; neuf cent trente huit,1
17,sept cent cinquante huit; cinq cent trois,0
18,six cent trente sept; sept cent deux,1
19,quatre cent quarante quatre; sept cent trente neuf,1
20,neuf cent quatre vingt neuf; trois cent soixante treize,0
21,quatre cent vingt deux; deux cent quarante quatre,0
22,sept cent cinquante cinq; sept cent quarante neuf,0
23,deux cent vingt sept; huit cent dix,1
24,cent trente six; trois cent quatre vingt trois,1
25,sept cent soixante et un; cinq cent quatre vingt quatre,0
26,cinq cent soixante dix; neuf cent neuf,1
27,cent trois; neuf cent soixante,1
28,huit cent quatre vingt cinq; six cent quatre vingt treize,0
29,cent trente trois; dix sept,0
30,six cent quatre vingt quatre; trois cent vingt deux,0
31,deux cent quarante deux; sept cent quatre vingts,1
32,deux cent vingt deux; cinq cent quarante trois,1
33,deux cent dix huit; cent quatre vingt quinze,0
34,huit cent vingt cinq; sept cent quatre vingt quatorze,0
35,sept cent soixante dix huit; sept cent quatre vingt un,1
36,huit cent huit; neuf cent quatre vingt deux,1
37,quatre cent soixante et un; sept cent quatre vingt dix,1
38,trois cent cinquante cinq; cinq cent trente huit,1
39,cent quarante trois; neuf cent soixante quatorze,1
40,cinq cent deux; cent soixante dix neuf,0
41,cinq cent trente huit; cinq cent quatre vingt sept,1
42,huit cent quatre vingt neuf; trois cent vingt sept,0
43,cinq cent cinquante et un; cinq cent onze,0
44,soixante quatorze; trois cent soixante quatre,1
45,soixante quatorze; trois cent quatre vingt quinze,1
46,deux cent douze; sept cent cinquante sept,1
47,trois cent vingt cinq; neuf cent cinquante trois,1
48,trois cent soixante dix sept; six cent vingt cinq,1
49,cent trente neuf; sept cent huit,1
50,quatre vingt quatorze; quatre cent quarante six,1
51,huit cent quatre vingts; trois cent quatre vingt dix huit,0
52,cent soixante deux; neuf cent vingt deux,1
53,huit cent trente huit; huit cent trois,0
54,deux cent soixante et onze; quatre cent vingt cinq,1
55,deux cent soixante douze; six cent dix,1
56,six cent soixante seize; sept cent soixante dix neuf,1
57,huit cent soixante quatre; huit cent soixante huit,1
58,huit cent soixante dix neuf; cinq cent vingt et un,0
59,deux cent vingt cinq; dix,0
60,cent huit; trois cent soixante trois,1
61,huit cent quatorze; deux cent quarante et un,0
62,trente deux; quatre cent vingt neuf,1
63,sept cent quatre vingt huit; cinq cent quarante deux,0
64,soixante trois; neuf cent quarante,1
65,cinq cent dix sept; sept cent cinquante trois,1
66,sept cent soixante deux; deux cent soixante quatre,0
67,sept cent vingt; six cent quarante six,0
68,quatre cent quinze; cent soixante six,0
69,cinq cent soixante sept; neuf cent soixante et onze,1
70,cinq cent trente huit; cent huit,0
71,quatre vingt onze; quatre cent quatorze,1
72,cent quatre vingt sept; sept cent soixante cinq,1
73,quatre cent soixante six; cinq cent soixante cinq,1
74,quatre cent deux; cinq cent vingt huit,1
75,huit cent cinquante cinq; quatre cent trente sept,0
76,huit cent trente sept; quatre cent vingt quatre,0
77,cent soixante treize; deux cent soixante et onze,1
78,cent quatre vingt deux; neuf cent cinquante sept,1
79,trois cent quatre vingt onze; neuf cent quatre,1
80,neuf cent onze; neuf cent vingt et un,1
81,huit cent quarante et un; trois cent quarante sept,0
82,six cent quarante; quarante trois,0
83,quatre cent dix neuf; trois cent quatre vingt trois,0
84,deux cent vingt six; neuf cent cinquante sept,1
85,huit cent quatre vingt sept; cinq cent trente deux,0
86,cent soixante sept; dix,0
87,six cent cinq; deux cent vingt,0
88,cent soixante douze; trois cent soixante seize,1
89,sept cent quarante cinq; neuf cent soixante cinq,1
90,trois cent cinquante cinq; quarante deux,0
91,huit cent quatre vingt quatre; neuf cent quarante sept,1
92,deux cent dix neuf; deux cent trente trois,1
93,deux cent sept; cent vingt huit,0
94,sept cent quatre vingt onze; trois cent douze,0
95,neuf cent quarante quatre; six cent sept,0
96,neuf cent vingt sept; cent soixante seize,0
97,huit cent vingt huit; neuf cent trente deux,1
98,cinq cent dix; cent neuf,0
99,cent trois; deux cent quatre vingt huit,1
100,quatre vingt six; cent quarante quatre,1
101,sept cent quatre vingt neuf; deux cent quatre vingt dix sept,0
102,trois cent quatre vingt deux; deux cent dix sept,0
103,cinq cent trente six; deux cent quatre vingt neuf,0
104,sept cent un; sept cent quatre vingt douze,1
105,huit cent soixante; cinq cent quatre vingt deux,0
106,sept cent quatre vingt un; quatre cent vingt,0
107,six cent quarante cinq; sept cent quatre vingt deux,1
108,quatre cent quatre vingt neuf; deux cent trente deux,0
