,sents,labels
0,二千六百七十四つのリングがあります。; 千二百十八つのリングがあります。,0
1,テーブルには三千二百五十一つのリンゴがありました。; テーブルには二千三百九十九つのリンゴがありました。,0
2,スメアゴルは四千十七匹のハエを傷つけます。; スメアゴルは千三百六十八匹のハエを傷つけます。,0
3,三千百九十九つのリングがあります。; 三千五百八十五つのリングがあります。,1
4,千七百五十七ドルかかります。; 二十六ドルかかります。,0
5,図書館には四百六十四冊の本があります。; 図書館には二千三百二冊の本があります。,1
6,少年は二千九百九十四枚のコインを持っています。; 少年は二千八百四十一枚のコインを持っています。,0
7,テーブルには四千九百二十五つのリンゴがありました。; テーブルには九百二十一つのリンゴがありました。,0
8,テーブルには千七百四十四つのリンゴがありました。; テーブルには千四百三十四つのリンゴがありました。,0
9,テーブルには四百三十つのリンゴがありました。; テーブルには二千七百八十六つのリンゴがありました。,1
10,千七百四十三ドルかかります。; 四千二百七十八ドルかかります。,1
11,少年は二千二百二十三枚のコインを持っています。; 少年は四千八十六枚のコインを持っています。,1
12,スメアゴルは四千九十二匹のハエを傷つけます。; スメアゴルは二千九百四十二匹のハエを傷つけます。,0
13,テーブルには二百五十三つのリンゴがありました。; テーブルには四百五十三つのリンゴがありました。,1
14,三千六百三十五つのリングがあります。; 百八つのリングがあります。,0
15,彼は九十三個のオレンジを食べることができました。; 彼は百五十三個のオレンジを食べることができました。,1
16,少年は四百九十三枚のコインを持っています。; 少年は二千五百九十七枚のコインを持っています。,1
17,アイゼンガードにホビット三千四十二匹を連れて行く。; アイゼンガードにホビット二千九百十六匹を連れて行く。,0
18,八百九十六ドルかかります。; 四百八十九ドルかかります。,0
19,図書館には百九冊の本があります。; 図書館には二千七百八十一冊の本があります。,1
20,部屋は二千九百三十二つのジャガイモで満たされていました。; 部屋は四千百三十つのジャガイモで満たされていました。,1
21,部屋は四千百三十六つのジャガイモで満たされていました。; 部屋は四千百五十四つのジャガイモで満たされていました。,1
22,部屋は千六百四十つのジャガイモで満たされていました。; 部屋は九百二十つのジャガイモで満たされていました。,0
23,部屋は千八百三十六つのジャガイモで満たされていました。; 部屋は四千三百二十七つのジャガイモで満たされていました。,1
24,家には猫が四百五十八匹いました。; 家には猫が二千九百五十九匹いました。,1
25,部屋は四千七百七つのジャガイモで満たされていました。; 部屋は二十四つのジャガイモで満たされていました。,0
26,レゴラスは四千九百七十八人の小人を投げました。; レゴラスは千六百六人の小人を投げました。,0
27,レゴラスは三千二十人の小人を投げました。; レゴラスは四千九百二十八人の小人を投げました。,1
28,レゴラスは二千百七十五人の小人を投げました。; レゴラスは千八百五十六人の小人を投げました。,0
29,部屋は五百三十九つのジャガイモで満たされていました。; 部屋は三千三百四十二つのジャガイモで満たされていました。,1
30,レゴラスは千六百二十一人の小人を投げました。; レゴラスは百六十七人の小人を投げました。,0
31,スメアゴルは二千六百二十三匹のハエを傷つけます。; スメアゴルは三千七百六十五匹のハエを傷つけます。,1
32,スメアゴルは二千百七十六匹のハエを傷つけます。; スメアゴルは四千六百五十七匹のハエを傷つけます。,1
33,家には猫が三千七百十六匹いました。; 家には猫が四千三百四十四匹いました。,1
34,家には猫が千八百十二匹いました。; 家には猫が四千百二十四匹いました。,1
35,部屋は三千三百六十つのジャガイモで満たされていました。; 部屋は二千二百七十三つのジャガイモで満たされていました。,0
36,少年は四千二百三十四枚のコインを持っています。; 少年は二千八百七十三枚のコインを持っています。,0
37,スメアゴルは三千八百四十八匹のハエを傷つけます。; スメアゴルは二千百九十四匹のハエを傷つけます。,0
38,図書館には五十七冊の本があります。; 図書館には三百四十九冊の本があります。,1
39,レゴラスは三千七十六人の小人を投げました。; レゴラスは二百十五人の小人を投げました。,0
40,四千五百九十二ドルかかります。; 三千五百五十二ドルかかります。,0
41,アイゼンガードにホビット八百九十九匹を連れて行く。; アイゼンガードにホビット千八百十六匹を連れて行く。,1
42,テーブルには千六百三十二つのリンゴがありました。; テーブルには二千四百六十八つのリンゴがありました。,1
43,レゴラスは二千七百六十三人の小人を投げました。; レゴラスは千百九十三人の小人を投げました。,0
44,三千四百九十一つのリングがあります。; 千三百二十五つのリングがあります。,0
45,彼は三千八百四十四個のオレンジを食べることができました。; 彼は百十九個のオレンジを食べることができました。,0
46,レゴラスは八十二人の小人を投げました。; レゴラスは四千五百二十一人の小人を投げました。,1
47,彼は千百七十五個のオレンジを食べることができました。; 彼は三百十五個のオレンジを食べることができました。,0
48,アイゼンガードにホビット七百四十七匹を連れて行く。; アイゼンガードにホビット千二百八十二匹を連れて行く。,1
49,アイゼンガードにホビット三千匹を連れて行く。; アイゼンガードにホビット四千五百九十三匹を連れて行く。,1
50,二千七百八十七ドルかかります。; 四千七百三十六ドルかかります。,1
51,四千五百九十七ドルかかります。; 千百三十ドルかかります。,0
52,家には猫が三千百三十八匹いました。; 家には猫が千九百三十五匹いました。,0
53,二千二百七十七ドルかかります。; 三千七百五十八ドルかかります。,1
54,テーブルには三百三十三つのリンゴがありました。; テーブルには二百九十八つのリンゴがありました。,0
55,千七百三十五つのリングがあります。; 三千四百六十つのリングがあります。,1
56,五百六十四ドルかかります。; 千九百八十八ドルかかります。,1
