sanzen gohyaku gojuu kyuu, yonsen nanahyaku shichijuu go
sanzen gohyaku gojuu hachi, gohyaku hatachi san
sen hyaku juukyuu, gojuu yon
yonsen yonhyaku juuroku, ni sen roppyaku hitotsu
ni sen sanbyaku shichijuu kyuu, sanzen sanbyaku yonjuu hachi
sanzen rokujuu kyuu, sen hyaku yonjuu roku
roppyaku yonjuu, sen happyaku juuroku
yonsen nanahyaku shichijuu yon, sen roppyaku gojuu kyuu
sanzen gohyaku gojuu hachi, gohyaku rokujuu roku
ni sen roppyaku roku, gohyaku shichi
ni sen happyaku hatachi go, yonsen kyuuhyaku gojuu shichi
hachijuu kyuu, yonsen sanbyaku hatachi roku
ni sen sanbyaku rokujuu hitotsu, sanzen nanahyaku gojuu hachi
ni sen happyaku shichijuu roku, sen kyuuhyaku yonjuu san
sanzen hyaku sanjuu hachi, happyaku hachijuu roku
yonsen go, ni sen gohyaku kyuujuu shichi
sen kyuuhyaku hachijuu roku, sanzen kyuuhyaku yonjuu kyuu
sanjuu shichi, sen roppyaku kyuujuu hachi
hyaku go, hyaku gojuu ni
ni sen kyuuhyaku kyuujuu go, sanzen hyaku kyuujuu hachi
sanzen kyuuhyaku hatachi go, sanzen hyaku gojuu roku
yonsen hyaku kyuujuu shichi, yonsen kyuuhyaku ni
sanzen sanbyaku rokujuu hitotsu, yonsen sanbyaku hatachi kyuu
sanzen gohyaku shichijuu hachi, sanzen yonhyaku juushi
hyaku kyuujuu ni, sanzen hyaku hatachi ni
yonsen hyaku kyuujuu, ni sen sanbyaku
sen happyaku gojuu san, gohyaku yonjuu yon
nanahyaku hatachi go, ni sen nanahyaku hachijuu ni
hyaku gojuu ni, gohyaku shichijuu go
yonsen roppyaku ni, hyaku shichijuu hitotsu
yonhyaku rokujuu yon, sanzen kyuuhyaku yonjuu hitotsu
sanzen kyuuhyaku gojuu san, sen roppyaku juu
sanzen nanahyaku hachijuu hachi, yonsen kyuuhyaku hachijuu yon
sen happyaku gojuu san, sanbyaku yonjuu shichi
hyaku rokujuu shichi, sanzen kyuuhyaku rokujuu yon
yonsen hatachi san, ni sen hyakuhachi juugo
ni sen hyaku kyuujuu kyuu, sen happyaku juu
yonsen hatachi, sanzen nanahyaku sanjuu ni
sanzen kyuuhyaku rokujuu san, ni sen yonhyaku yonjuu hitotsu
sen gohyaku hatachi shichi, ni sen gohyaku juuroku
hyaku kyuujuu roku, sanzen nanahyaku gojuu go
sen happyaku shichijuu kyuu, yonsen yonhyaku san
sanzen nihyaku juu, sen gohyaku juuhachi
yonsen nihyaku kyuujuu, yonsen hyaku gojuu
ni sen gojuu shichi, ni sen kyuuhyaku sanjuu roku
sen kyuuhyaku sanjuu, yonsen gojuu ni
sen hyaku san, sanzen nanahyaku shichijuu shichi
yonsen happyaku yonjuu roku, yonsen hyaku rokujuu hitotsu
yonsen nihyaku sanjuu san, sanzen hyaku sanjuu hitotsu
sanzen hyaku hatachi yon, sanzen kyuuhyaku gojuu hitotsu
roppyaku juusan, sen hyaku juu
sanzen gohyaku kyuujuu roku, hyaku shichijuu
sanzen yonhyaku sanjuu hitotsu, yonsen nihyaku yonjuu hitotsu
sanzen hyaku kyuujuu go, sen roppyaku sanjuu san
