,sents,labels
0,Le garçon a quatre cent soixante dix huit pièces.; Le garçon a mille deux cent cinquante trois pièces.,1
1,Il pouvait manger huit cent cinquante sept oranges.; Il pouvait manger trois mille quatre cent seize oranges.,1
2,Il y a trois mille trois cent soixante six livres dans la bibliothèque.; Il y a mille trois cent quatre vingt seize livres dans la bibliothèque.,0
3,Le garçon a trois cent quatre vingt quatorze pièces.; Le garçon a mille neuf cent soixante dix huit pièces.,1
4,Legolas a jeté mille cent cinq nains.; Legolas a jeté neuf cent quarante et un nains.,0
5,Ils emmènent mille quatre cent douze hobbits à Isengard.; Ils emmènent trois mille sept cent soixante et onze hobbits à Isengard.,1
6,Smeagol blesse deux mille huit cent quatre vingt trois mouches.; Smeagol blesse trois mille six cent quatre vingt huit mouches.,1
7,Legolas a jeté trois mille quatre cent quatorze nains.; Legolas a jeté mille cent trente six nains.,0
8,Il y avait deux mille deux cent quatre chats dans la maison.; Il y avait trois mille huit cent soixante quatorze chats dans la maison.,1
9,Il pouvait manger trois mille six cent vingt quatre oranges.; Il pouvait manger trois cent quarante oranges.,0
10,La pièce était remplie de quatre mille quatre cent quatre vingt dix pommes de terre.; La pièce était remplie de quatre cent soixante seize pommes de terre.,0
11,Il pouvait manger deux mille deux cent sept oranges.; Il pouvait manger deux mille huit cent quatre vingt seize oranges.,1
12,Ils emmènent cent trente neuf hobbits à Isengard.; Ils emmènent quatre mille sept cent soixante dix huit hobbits à Isengard.,1
13,Cela coûte quatre cent quatre vingt dix neuf dollars.; Cela coûte quatre mille cent quinze dollars.,1
14,La pièce était remplie de cent quatre vingt neuf pommes de terre.; La pièce était remplie de six cent vingt neuf pommes de terre.,1
15,Cela coûte trois mille quatre cent quatre vingt treize dollars.; Cela coûte quatre mille deux cent soixante sept dollars.,1
16,Legolas a jeté mille cent un nains.; Legolas a jeté mille six cent vingt six nains.,1
17,Il y a mille un anneaux.; Il y a trois mille six cent trente six anneaux.,1
18,Legolas a jeté trois mille cinq cent quarante neuf nains.; Legolas a jeté quatre mille quatre cent quatre vingt sept nains.,1
19,Il pouvait manger mille huit cent quatre vingt trois oranges.; Il pouvait manger neuf cent quatre vingt quinze oranges.,0
20,Il y a quatre mille cent trente trois livres dans la bibliothèque.; Il y a huit cent quatorze livres dans la bibliothèque.,0
21,Il y a deux cent soixante deux livres dans la bibliothèque.; Il y a quatre mille deux cent quarante cinq livres dans la bibliothèque.,1
22,Ils emmènent trois mille huit cent treize hobbits à Isengard.; Ils emmènent mille cent trente deux hobbits à Isengard.,0
23,Il y avait mille six cent soixante huit pommes sur la table.; Il y avait mille neuf cent quatre pommes sur la table.,1
24,Legolas a jeté mille quatre cent quatre vingts nains.; Legolas a jeté quatre mille sept cent quarante neuf nains.,1
25,Ils emmènent quatre mille neuf cent soixante douze hobbits à Isengard.; Ils emmènent deux mille cinq cent onze hobbits à Isengard.,0
26,Il y a trois mille quarante trois anneaux.; Il y a mille neuf cent trois anneaux.,0
27,Il y avait mille cent cinq chats dans la maison.; Il y avait mille huit cent vingt cinq chats dans la maison.,1
28,Legolas a jeté mille cent dix sept nains.; Legolas a jeté neuf cent cinquante cinq nains.,0
29,Il y a deux mille huit cent cinquante neuf anneaux.; Il y a sept cent quatre vingt douze anneaux.,0
30,Il y avait neuf cent quatre vingts pommes sur la table.; Il y avait quatre mille trois cents pommes sur la table.,1
31,Ils emmènent deux mille quatre cent quatre vingt dix huit hobbits à Isengard.; Ils emmènent mille vingt hobbits à Isengard.,0
32,Il pouvait manger deux mille neuf cent quatre vingt trois oranges.; Il pouvait manger quatre mille quatre cent soixante dix neuf oranges.,1
33,Il pouvait manger mille quatre cent vingt quatre oranges.; Il pouvait manger cinq cent quatre vingt trois oranges.,0
34,Il y avait quatre mille sept cent cinquante huit chats dans la maison.; Il y avait trois mille sept cent soixante dix huit chats dans la maison.,0
35,Le garçon a mille soixante six pièces.; Le garçon a quatre mille deux cent dix huit pièces.,1
36,Smeagol blesse quatre mille six cent vingt trois mouches.; Smeagol blesse deux mille sept cent trente trois mouches.,0
