,sents,labels
0,There were three hundred and seventy eight cats in the house,0
1,There are four hundred and ten seven hundred and ninety one books in the library,1
2,He could eat seventy four five hundred and twenty two oranges,1
3,The boy has one hundred and ninety seven coins,0
4,The boy has nine hundred and seventy six seven hundred and three coins,1
5,Legolas threw two hundred dwarves,0
6,There are eight hundred and eighty one books in the library,0
7,He could eat three hundred and eight four hundred and sixteen oranges,1
8,Smeagol hurts seven hundred and sixty seven flies,0
9,There are nine hundred and fifty six books in the library,0
10,There are thirty seven four hundred and seventy seven books in the library,1
11,There are two hundred and forty eight hundred and eighty four rings,1
12,Legolas threw four hundred and seventy eight three hundred and sixty seven dwarves,1
13,The boy has eight hundred and thirty one coins,0
14,He could eat five hundred and four sixty six oranges,1
15,There are five hundred and fifteen rings,0
16,There are four hundred and eighty seven rings,0
17,Legolas threw three hundred and seventeen dwarves,0
18,He could eat four hundred and sixty five three hundred and eighty five oranges,1
19,Legolas threw one hundred and twenty nine six hundred and eighty four dwarves,1
20,The room was filled with seven hundred and thirty one potatoes,0
21,Legolas threw two eight hundred and ninety dwarves,1
22,It costs nine hundred and sixty five dollars,0
23,They take six hundred and ninety three hobbits to Isengard,0
24,He could eat seven hundred and forty oranges,0
25,The room was filled with six hundred and eighty eight potatoes,0
26,The room was filled with two hundred and eighty five nine hundred and fifty potatoes,1
27,It costs five hundred and eighty one dollars,0
28,There are three hundred and thirty seven hundred and eighty four books in the library,1
29,The room was filled with four hundred and seventy four potatoes,0
30,It costs six hundred and fifty four seven hundred and thirty five dollars,1
31,They take seven hundred and fourteen hobbits to Isengard,0
32,There were eight hundred and two cats in the house,0
33,Smeagol hurts twenty four four hundred and nineteen flies,1
34,Smeagol hurts nine hundred and sixty three five hundred and forty flies,1
35,There were two hundred and twenty five cats in the house,0
36,There are nine hundred and forty six seventeen rings,1
37,There are four hundred and fifty one books in the library,0
38,They take five hundred and sixty seven hobbits to Isengard,0
39,He could eat one hundred and eighty seven oranges,0
40,There were four hundred and forty one nine hundred and six cats in the house,1
41,The boy has three hundred and seventy seven two hundred and thirty five coins,1
42,The boy has five hundred and ninety eight seven hundred and eighty five coins,1
43,He could eat eighty five oranges,0
