,sents,labels
0,Drengen har tooghalvtreds femhundrede og seksten mønter.,1
1,Der var sekshundrede og fireogfirs æbler på bordet.,0
2,De tager tohundrede og seksogfirs hobbyer til Isengard.,0
3,Der er nihundrede og seksogtreds ringe.,0
4,De tager ethundrede og treogtyve nihundrede og nioghalvtreds hobbyer til Isengard.,1
5,De tager firehundrede og tre hobbyer til Isengard.,0
6,Legolas kastede otteogtreds trehundrede og treoghalvfjerds dværge.,1
7,Drengen har nihundrede og fireogtreds mønter.,0
8,Der var ethundrede og treogtredive nihundrede og seksogtredive katte i huset.,1
9,Der var ethundrede og syvoghalvtreds ottehundrede og tyve katte i huset.,1
10,Værelset var fyldt med trehundrede og halvtreds kartofler.,0
11,Han kunne spise sekshundrede og atten appelsiner.,0
12,Legolas kastede sekshundrede og otteogtreds dværge.,0
13,Der var trehundrede og seksogfyrre katte i huset.,0
14,Drengen har firehundrede og treds sekshundrede og et mønter.,1
15,Der er ottehundrede og to syvogtreds ringe.,1
16,Det koster trehundrede og syvoghalvfjerds dollars.,0
17,Der var ethundrede og syvogtredive æbler på bordet.,0
18,Der er firehundrede og tretten nihundrede og enogfirs bøger på biblioteket.,1
19,Han kunne spise ni firehundrede og fire appelsiner.,1
20,De tager treoghalvfems treogfirs hobbyer til Isengard.,1
21,Legolas kastede syvhundrede og syvoghalvtreds dværge.,0
22,Der var ethundrede og seksten trehundrede og seksogtreds katte i huset.,1
23,Værelset var fyldt med ottehundrede og sytten enogtyve kartofler.,1
24,Der var ottehundrede og atten femhundrede og halvfjerds æbler på bordet.,1
25,De tager femhundrede og fyrre syvhundrede og syvoghalvfems hobbyer til Isengard.,1
26,Der er trehundrede og fireogfirs firehundrede og treoghalvfems bøger på biblioteket.,1
27,Der er firehundrede og fireogtyve ringe.,0
28,Der er trehundrede og treogtyve ringe.,0
29,Værelset var fyldt med tohundrede og nitten kartofler.,0
30,Der var syvhundrede og fireoghalvfjerds femhundrede og elleve æbler på bordet.,1
31,Der var ethundrede og enoghalvtreds ottehundrede og syvoghalvfjerds katte i huset.,1
32,Det koster sekshundrede og fem tohundrede og seksogtyve dollars.,1
33,Smeagol gør tohundrede og treogtreds syvhundrede og otte fluer ondt.,1
34,Han kunne spise nioghalvfjerds appelsiner.,0
35,Der er ottehundrede og otteogtredive nihundrede og halvfems ringe.,1
36,Der var tohundrede og femogfirs katte i huset.,0
37,Han kunne spise sekshundrede og fireoghalvtreds appelsiner.,0
38,Værelset var fyldt med nihundrede og niogtredive kartofler.,0
39,Smeagol gør trehundrede og treds femhundrede og nioghalvtreds fluer ondt.,1
40,Der var ethundrede og syvogfyrre sekshundrede og fyrre katte i huset.,1
41,Han kunne spise nihundrede og enogtyve appelsiner.,0
42,Han kunne spise otte appelsiner.,0
43,Smeagol gør ethundrede og femogtredive tohundrede og otteogtyve fluer ondt.,1
